"","title","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","sent_mean","sent_sd","sent_sum","clean_summary"
"1","Free Time","",0,"Ben Kenigsberg","‘Free Time’ Review: City Life as It Was, Today","The filmmaker Manfred Kirchheimer excavates the sights — and constructs the sounds — of a lost New York.","2020-11-11","2019-09-28","2020-11-11 17:54:02","article","https://www.nytimes.com/2020/11/11/movies/free-time-review.html","Read the New York Times Review of Free Time","mediumThreeByTwo210","https://static01.nyt.com/images/2020/11/10/arts/freetime1/freetime1-mediumThreeByTwo210.jpg",140,210,0.040625,0.320009765475993,0.65,"filmmak manfr kirchheim excav sight construct sound lost york"
"2","The Devil Has a Name","R",0,"Ben Kenigsberg","‘The Devil Has a Name’ Review: A Little Guy Takes On Big Oil","A farmer sues an oil company in this well-meaning but muddled drama directed by Edward James Olmos.","2020-10-15","2019-08-04","2020-10-15 11:04:07","article","https://www.nytimes.com/2020/10/15/movies/the-devil-has-a-name-review.html","Read the New York Times Review of The Devil Has a Name","mediumThreeByTwo210","https://static01.nyt.com/images/2020/10/15/arts/15devilhasaname-art/merlin_178332309_01e894f8-524b-4e21-893e-d893c1316cd6-mediumThreeByTwo210.jpg",140,210,-0.0277777777777778,0.286059548624892,-0.5,"farmer sue oil compani wellmean muddl drama direct edward jame olmo"
"3","Howard","",1,"Jeannette Catsoulis","‘Howard’ Review: A Lyricist’s Life Cut Short","A new documentary looks at the prodigious talent of Howard Ashman, one half of the musical team behind “The Little Mermaid” and others, before he died of AIDS at 40.","2020-08-06","2018-12-14","2020-08-06 11:04:03","article","https://www.nytimes.com/2020/08/06/movies/howard-review.html","Read the New York Times Review of Howard","mediumThreeByTwo210","https://static01.nyt.com/images/2020/08/07/arts/06howard/06howard-mediumThreeByTwo210-v3.jpg",140,210,0.0633333333333333,0.23705569450838,1.9,"documentari look prodigi talent howard ashman half music team littl mermaid die aid"
"4","The Cuban","",0,"Glenn Kenny","‘The Cuban’ Review: Memories Lost and Reignited","Louis Gossett Jr. plays a musician with Alzheimer’s disease whose new nurse helps him reach back into his past.","2020-07-30","2019-12-07","2020-07-30 11:04:04","article","https://www.nytimes.com/2020/07/30/movies/the-cuban-review.html","Read the New York Times Review of The Cuban","mediumThreeByTwo210","https://static01.nyt.com/images/2020/07/29/arts/cuban1/cuban1-mediumThreeByTwo210.jpg",140,210,0.0175,0.35066665832833,0.35,"loui gossett jr play musician alzheim diseas nurs help reach past"
"5","Dateline: Saigon","",0,"Ben Kenigsberg","‘Dateline-Saigon’ Review: Challenging the Official Story","This documentary focuses on five reporters who covered the early years of the Vietnam War.","2020-07-14","2016-05-10","2020-07-17 05:04:02","article","https://www.nytimes.com/2020/07/14/movies/dateline-saigon-review.html","Read the New York Times Review of Dateline: Saigon","mediumThreeByTwo210","https://static01.nyt.com/images/2020/07/13/arts/dateline2/dateline2-mediumThreeByTwo210.jpg",140,210,-0.0333333333333333,0.129099444873581,-0.5,"documentari focus five report cover vietnam war"
"6","Spark","",0,"Ben Kenigsberg","‘Spark’ and ‘The Observer’ Review: A Filmmaker’s Past, and China’s","A pair of documentaries serve as an introduction to Hu Jie, a documentarian whose films memorialize the horrors of the Mao era.","2020-07-02","2019-12-31","2020-07-02 15:16:02","article","https://www.nytimes.com/2020/07/02/movies/spark-and-the-observer-review.html","Read the New York Times Review of Spark","mediumThreeByTwo210","https://static01.nyt.com/images/2020/07/02/arts/02spark/merlin_173962872_b08de4e4-588f-4007-90ea-372803f478eb-mediumThreeByTwo210.jpg",140,210,-0.0454545454545455,0.21320071635561,-1,"pair documentari serv introduct hu jie documentarian film memori horror mao era"
"7","Unsettled: Seeking Refuge in America","",0,"Ben Kenigsberg","‘Unsettled: Seeking Refuge in America’ Review: Embracing a New Home","A documentary on L.G.B.T.Q. refugees becomes progressively engaging as its subjects’ paths diverge.","2020-06-29","2019-04-01","2020-06-29 20:02:02","article","https://www.nytimes.com/2020/06/29/movies/unsettled-seeking-refuge-in-america-review.html","Read the New York Times Review of Unsettled: Seeking Refuge in America","mediumThreeByTwo210","https://static01.nyt.com/images/2020/06/30/arts/unsettled1/unsettled1-mediumThreeByTwo210.jpg",140,210,0.0294117647058824,0.121267812518166,0.5,"documentari lgbtq refuge progress engag subject path diverg"
"8","Parkland Rising","",0,"Teo Bugbee","‘Parkland Rising’ Review: A Close-Up on Activism After a Tragedy","A documentary profiles students and parents who became organizers after the school shooting, but doesn’t provide a lot of fresh insight.","2020-06-04","2019-10-04","2020-06-04 11:04:03","article","https://www.nytimes.com/2020/06/04/movies/parkland-rising-review.html","Read the New York Times Review of Parkland Rising","mediumThreeByTwo210","https://static01.nyt.com/images/2020/06/04/arts/04parkland-rising/04parkland-rising-mediumThreeByTwo210.jpg",140,210,0.0318181818181818,0.241791653005648,0.7,"documentari profil student parent organ school shoot doesnt provid lot fresh insight"
"9","The Plagues of Breslau","",0,"Elisabeth Vincentelli","‘The Plagues of Breslau’ Review: Rage Against the Male Machine","This Polish thriller is conventional in many ways, but its brusque, obsessive female cops linger in the mind.","2020-04-22","2018-11-29","2020-04-22 22:24:02","article","https://www.nytimes.com/2020/04/22/movies/the-plagues-of-breslau-review.html","Read the New York Times Review of The Plagues of Breslau","mediumThreeByTwo210","https://static01.nyt.com/images/2020/04/22/arts/plagues3/plagues3-mediumThreeByTwo210.jpg",140,210,-0.0583333333333333,0.249852897898414,-1.05,"polish thriller convent brusqu obsess femal cop linger mind"
"10","The Times of Bill Cunningham","",0,"Kristen Yoonsoo Kim","‘The Times of Bill Cunningham’ Review: Another New York Snapshot","Sarah Jessica Parker narrates a documentary about this former New York Times personality and street photographer.","2020-02-13","2018-05-01","2020-03-13 16:44:01","article","https://www.nytimes.com/2020/02/13/movies/the-times-of-bill-cunningham-review.html","Read the New York Times Review of The Times of Bill Cunningham","mediumThreeByTwo210","https://static01.nyt.com/images/2020/02/14/arts/13billoftimespix/13billoftimespix-mediumThreeByTwo210-v2.jpg",140,210,0.05,0.2,0.8,"sarah jessica parker narrat documentari former york time person street photograph"
"11","Citizen K","",0,"Ben Kenigsberg","‘Citizen K’ Review: Trying to Pin Down a Russian Oligarch","A detailed documentary on Mikhail Khodorkovsky proves slightly unsatisfying.","2020-01-14","2019-11-22","2020-02-12 17:44:01","article","https://www.nytimes.com/2020/01/14/movies/citizen-k-review.html","Read the New York Times Review of Citizen K","mediumThreeByTwo210","https://static01.nyt.com/images/2020/01/14/arts/14citizenK/14citizenK-mediumThreeByTwo210.jpg",140,210,-0.0555555555555556,0.390867979985286,-0.5,"detail documentari mikhail khodorkovski prove slight unsatisfi"
"12","Ghost Stories","",0,"Bilal Qureshi","‘Ghost Stories’ Review: Bollywood Aims for Frights","With this Netflix anthology, four directors from Indian cinema draw horror from a country’s lived reality.","2020-01-02","2019-12-31","2020-01-02 12:04:02","article","https://www.nytimes.com/2020/01/02/movies/ghost-stories-review.html","Read the New York Times Review of Ghost Stories","mediumThreeByTwo210","https://static01.nyt.com/images/2020/01/03/arts/ghoststories1/ghoststories1-mediumThreeByTwo210.jpg",140,210,-0.0588235294117647,0.242535625036333,-1,"netflix antholog director indian cinema draw horror countri live realiti"
"13","One Cut of the Dead","Not Rated",1,"Elisabeth Vincentelli","‘One Cut of the Dead’ Review: A Fresh Take on the Zombie Flick","A one-take movie stunt is justified in the Japanese director Shinichiro Ueda’s fast and furious backstage comedy.","2019-12-25","2019-09-24","2019-12-25 14:04:02","article","https://www.nytimes.com/2019/12/25/movies/one-cut-of-the-dead-review.html","Read the New York Times Review of One Cut of the Dead","mediumThreeByTwo210","https://static01.nyt.com/images/2020/01/03/arts/03onecut1/onecut1-mediumThreeByTwo210.jpg",140,210,0.0394736842105263,0.35612846752277,0.75,"onetak movi stunt justifi japanes director shinichiro ueda fast furious backstag comedi"
"14","Clemency","R",0,"Manohla Dargis","‘Clemency’ Review: No Place for Mercy","A tremendous Alfre Woodard plays a warden at a prison whose world is upended by the fate of death-row inmates.","2019-12-25","2019-12-27","2020-01-17 17:44:02","article","https://www.nytimes.com/2019/12/25/movies/clemency-review.html","Read the New York Times Review of Clemency","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/27/arts/00clemency-1/merlin_166233522_eea98ec8-52b7-4cae-b3d4-0c10b1e54ab9-mediumThreeByTwo210.jpg",140,210,-0.14047619047619,0.280454562995081,-2.95,"tremend alfr woodard play warden prison world upend fate deathrow inmat"
"15","The 21st Annual Animation Show of Shows","",0,"Glenn Kenny","Review: Animated Shorts of Every Stripe and Feather","Find a pen-and-ink dog, stop-motion girl and a C.G.I. fox in “The 21st Annual Animation Show of Shows.”","2019-12-24","2019-12-25","2020-01-13 17:44:01","article","https://www.nytimes.com/2019/12/24/movies/animation-show-of-shows-review.html","Read the New York Times Review of The 21st Annual Animation Show of Shows","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/25/arts/24showofshows1/merlin_166233396_e8c73e00-b6b4-46c0-b9ab-421b2d8c83af-mediumThreeByTwo210.jpg",140,210,-0.00652173913043478,0.100345253801435,-0.15,"penandink dog stopmot girl cgi fox st annual anim"
"16","What She Said: The Art of Pauline Kael","",0,"Jeannette Catsoulis","‘What She Said’ Review: Pauline Kael, Screen Queen","Kael’s distinctively passionate voice, competing with movie fragments, is disastrously muffled, as are those of her admirers and detractors.","2019-12-24","2019-12-25","2020-01-15 17:44:02","article","https://www.nytimes.com/2019/12/24/movies/what-she-said-the-art-of-pauline-kael-review.html","Read the New York Times Review of What She Said: The Art of Pauline Kael","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/25/arts/24whatshesaid-alt/24whatshesaid-alt-mediumThreeByTwo210.jpg",140,210,0.0125,0.206394486870474,0.25,"kael distinct passion voic compet movi fragment disastr muffl admir detractor"
"17","1917","R",0,"Manohla Dargis","‘1917’ Review: Paths of Technical Glory","Sam Mendes directs this visually extravagant drama about young British soldiers on a perilous mission in World War I.","2019-12-24","2019-12-25","2020-01-24 17:44:02","article","https://www.nytimes.com/2019/12/24/movies/1917-review.html","Read the New York Times Review of 1917","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/23/movies/001917-pic-promo/001917-pic-promo-mediumThreeByTwo210-v3.jpg",140,210,-0.0236842105263158,0.220081058963782,-0.45,"sam mend direct visual extravag drama british soldier peril mission world war"
"18","Spies in Disguise","PG",0,"Glenn Kenny","‘Spies in Disguise’ Review: Smug Agent Meets Gadget Geek","Will Smith and Tom Holland are an action odd couple in this animated comedy.","2019-12-24","2019-12-25","2020-01-24 17:44:02","article","https://www.nytimes.com/2019/12/24/movies/spies-in-disguise-review.html","Read the New York Times Review of Spies in Disguise","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/20/arts/spies1/spies1-mediumThreeByTwo210.jpg",140,210,0.0642857142857143,0.191581044739026,0.9,"smith tom holland action odd coupl anim comedi"
"19","The Song of Names","PG-13",0,"Ben Kenigsberg","‘The Song of Names’ Review: A Prodigy, a War and a Mystery","A young violinist goes missing in London in 1951. The eventual answer as to why is powerful.","2019-12-24","2019-12-25","2020-01-17 17:44:02","article","https://www.nytimes.com/2019/12/24/movies/the-song-of-names-review.html","Read the New York Times Review of The Song of Names","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/24/arts/24songofnames/merlin_166233951_293db95b-16c2-4dd7-bd5e-5db139ef1431-mediumThreeByTwo210.jpg",140,210,0.0382352941176471,0.243367913202358,0.65,"violinist goe miss london eventu answer power"
"20","Little Women","PG",1,"A.O. Scott","‘Little Women’ Review: This Movie Is Big","Greta Gerwig refreshes a literary classic with the help of a dazzling cast that includes Saoirse Ronan, Florence Pugh, Laura Dern and Meryl Streep.","2019-12-23","2019-12-25","2020-01-23 17:44:01","article","https://www.nytimes.com/2019/12/23/movies/little-women-review.html","Read the New York Times Review of Little Women","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/25/arts/23littlewomen/23littlewomen-mediumThreeByTwo210.jpg",140,210,0.0541666666666667,0.188769854508114,1.3,"greta gerwig refresh literari classic help dazzl cast includ saoirs ronan florenc pugh laura dern meryl streep"
"21","Dabangg 3","",0,"Rachel Saltz","‘Dabangg 3’ Review: A Hero From the School of Knock ’em Hard","In this Bollywood action flick, Salman Khan is a one-man wrecking crew. When not knocking heads, he dances.","2019-12-22","2019-12-20","2020-01-09 17:44:01","article","https://www.nytimes.com/2019/12/22/movies/dabangg-3-review.html","Read the New York Times Review of Dabangg 3","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/23/arts/22dabangg-pic/22dabangg-pic-mediumThreeByTwo210-v2.jpg",140,210,0.040625,0.320009765475993,0.65,"bollywood action flick salman khan oneman wreck crew knock head danc"
