"","V1","V1.1","primaryTitle","tconst","averageRating","numVotes","titleType","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","NA.","sent_mean","sent_sd","sent_sum","covid","action","drama","horror","crime","thriller","comedy","documentary","war","adventure","biography","family","romance","fantasy","animation","mystery","musical","music","sci-fi","sport","history","western","j"
"1",1,1,"""""""""Pain and Glory""""""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",1,"MANOHLA DARGIS","‘Pain and Glory’ Review: Almodóvar’s Dazzling Art of Self-Creation","Antonio Banderas plays a filmmaker in crisis in Pedro Almodóvar’s movie about loss, love, imagination and memory.",2019-10-03,2019-10-04,"2019-11-03 17:44:01","article","https://www.nytimes.com/2019/10/03/movies/pain-and-glory-review.html","Read the New York Times Review of """"""""Pain and Glory""""""""","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/02/arts/00painandglory-1/merlin_161549757_0e3807a1-a687-42c5-ba71-bcf0de20af8b-mediumThreeByTwo210.jpg",140,210,NA,-0.0416666666666667,0.312132136423399,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",2,2,"#Alive","tt10620868",6.2,27286,"movie","#Saraitda",0,2020,"\N",98,"Action,Drama,Horror","TV-MA",1,"Elisabeth Vincentelli","‘#Alive’ Review: From Great Graphics, to Graphic","A laid back gamer is homebound with no food, no weapons, and zombies knocking at the door in this spirited Korean twist on siege movies.",2020-09-11,2020-09-08,"2020-09-11 17:56:02","article","https://www.nytimes.com/2020/09/11/movies/alive-review.html","Read the New York Times Review of #Alive","mediumThreeByTwo210","https://static01.nyt.com/images/2020/09/11/arts/alive1/alive1-mediumThreeByTwo210.jpg",140,210,NA,0.002,0.186234619051704,0.05,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",3,3,"#Female Pleasure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"JEANNETTE CATSOULIS","‘#Female Pleasure’ Review: Fighting the Patriarchy","Barbara Miller’s humane profile of five women fighting back against sexism and misogyny is a hopeful, clearheaded confessional.",2019-10-17,2019-10-18,"2019-10-25 16:44:02","article","https://www.nytimes.com/2019/10/17/movies/female-pleasure-review.html","Read the New York Times Review of #Female Pleasure","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/15/arts/female1/female1-mediumThreeByTwo210.jpg",140,210,NA,0.0236842105263158,0.283023566476869,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",4,4,"10 Minutes Gone","tt8809652",3.6,2726,"movie","10 Minutes Gone",0,2019,"\N",89,"Action,Crime,Thriller","R",0,"GLENN KENNY","‘10 Minutes Gone’ Review: A Forgettable Shoot-’em-Up","Bruce Willis and Michael Chiklis star in this crime potboiler about a robbery gone wrong in Cincinnati.",2019-09-26,2019-09-27,"2019-10-04 16:44:01","article","https://www.nytimes.com/2019/09/26/movies/10-minutes-gone-review.html","Read the New York Times Review of 10 Minutes Gone","mediumThreeByTwo210","https://static01.nyt.com/images/2019/09/26/arts/26tenminutes/merlin_161090526_c0865a2c-54cb-4512-8127-e2ebc1e0f972-mediumThreeByTwo210.jpg",140,210,NA,-0.111764705882353,0.376882529677976,-1.9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",5,5,"12 Hour Shift","tt10309552",5.4,2966,"movie","12 Hour Shift",0,2020,"\N",86,"Comedy,Horror,Thriller","",0,"Ben Kenigsberg","‘12 Hour Shift’ Review: When a Bedside Manner Includes Murder","The exploitation comedy about nurses who are secretly harvesting patients’ organs has about two good jokes for every bad one.",2020-10-01,2020-10-02,"2020-10-01 11:04:06","article","https://www.nytimes.com/2020/10/01/movies/12-hour-shift-review-when-a-bedside-manner-includes-murder.html","Read the New York Times Review of 12 Hour Shift","mediumThreeByTwo210","https://static01.nyt.com/images/2020/09/29/arts/twelvehour1/twelvehour1-mediumThreeByTwo210.jpg",140,210,NA,0.005,0.379369282667402,0.1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6",6,6,"16 Bars","tt11131480",7.7,6,"movie","16 Bars",0,2020,"\N",NA,"Action","",0,"BEN KENIGSBERG","‘16 Bars’ Review: Inmates Find the Beat","This film about a music workshop held at a city jail only sometimes transcends its role as an awareness tool.",2019-11-07,2019-11-08,"2019-11-15 17:44:02","article","https://www.nytimes.com/2019/11/07/movies/16-bars-review.html","Read the New York Times Review of 16 Bars","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/08/arts/08sixteen1/sixteen1-mediumThreeByTwo210.jpg",140,210,NA,-0.01,0.229186203313973,-0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",7,7,"16 Shots","tt10331828",7.1,367,"movie","16 Shots",0,2019,"\N",82,"Documentary","",0,"KEN JAWOROWSKI","‘16 Shots’ Review: Chicago’s Rage After a Killing by the Police","The documentary recounts the shooting of Laquan McDonald and the resulting trial of Jason Van Dyke.",2019-06-06,2019-06-14,"2019-06-14 16:44:01","article","https://www.nytimes.com/2019/06/06/movies/16-shots-review.html","Read the New York Times Review of 16 Shots","mediumThreeByTwo210","https://static01.nyt.com/images/2019/06/05/arts/sixteen1/sixteen1-mediumThreeByTwo210.jpg",140,210,NA,-0.0375,0.15,-0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8",8,8,"1917","tt8579674",8.3,450443,"movie","1917",0,2019,"\N",119,"Drama,Thriller,War","R",0,"Manohla Dargis","‘1917’ Review: Paths of Technical Glory","Sam Mendes directs this visually extravagant drama about young British soldiers on a perilous mission in World War I.",2019-12-24,2019-12-25,"2020-01-24 17:44:02","article","https://www.nytimes.com/2019/12/24/movies/1917-review.html","Read the New York Times Review of 1917","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/23/movies/001917-pic-promo/001917-pic-promo-mediumThreeByTwo210-v3.jpg",140,210,NA,-0.0236842105263158,0.220081058963782,-0.45,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",9,9,"2020 Oscar Nominated Short Films: Animation","tt11696984",7.4,49,"movie","2020 Oscar Nominated Short Films: Animation",0,2020,"\N",NA,"\N","",0,"Glenn Kenny","‘The 2020 Oscar Nominated Short Films’ Review: Nothing to Laugh About","The 15 short films nominated in three Oscar categories are mainly serious and often grim.",2020-01-28,2020-01-31,"2020-02-06 19:48:03","article","https://www.nytimes.com/2020/01/28/movies/oscar-nominated-short-films-review.html","Read the New York Times Review of 2020 Oscar Nominated Short Films: Animation","mediumThreeByTwo210","https://static01.nyt.com/images/2020/01/29/arts/oscarshorts1/oscarshorts1-mediumThreeByTwo210.jpg",140,210,NA,-0.05,0.193649167310371,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10",10,10,"2020 Oscar Nominated Short Films: Documentary","tt11696986",7.9,31,"movie","2020 Oscar Nominated Short Films: Documentary",0,2020,"\N",160,"Documentary","",0,"Glenn Kenny","‘The 2020 Oscar Nominated Short Films’ Review: Nothing to Laugh About","The 15 short films nominated in three Oscar categories are mainly serious and often grim.",2020-01-28,2020-01-31,"2020-02-15 17:44:02","article","https://www.nytimes.com/2020/01/28/movies/oscar-nominated-short-films-review.html","Read the New York Times Review of 2020 Oscar Nominated Short Films: Documentary","mediumThreeByTwo210","https://static01.nyt.com/images/2020/01/29/arts/oscarshorts1/oscarshorts1-mediumThreeByTwo210.jpg",140,210,NA,-0.05,0.193649167310371,-0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"11",11,11,"2040","tt7150512",7.2,958,"movie","2040",0,2019,"\N",92,"Documentary","",0,"Ben Kenigsberg","‘2040’ Review: Tools to Fix the World, Already at Hand","Damon Gameau’s documentary is an accessible, informative and optimistic look at solutions to the climate crisis.",2020-06-04,2020-06-05,"2020-06-04 11:04:05","article","https://www.nytimes.com/2020/06/04/movies/2040-review.html","Read the New York Times Review of 2040","mediumThreeByTwo210","https://static01.nyt.com/images/2020/06/04/arts/04twentyforty-art/04twentyforty-art-mediumThreeByTwo210.jpg",140,210,NA,0.0588235294117647,0.312867431049901,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",12,12,"21 Bridges","tt8688634",6.6,52913,"movie","21 Bridges",0,2019,"\N",99,"Action,Crime,Thriller","R",0,"Jeannette Catsoulis","‘21 Bridges’ Review: Catch Us if You Can","In this sturdy thriller, Chadwick Boseman plays a Manhattan detective on the hunt for two squirrelly cop killers.",2019-11-21,2019-11-22,"2019-12-21 17:44:01","article","https://www.nytimes.com/2019/11/21/movies/21-bridges-review.html","Read the New York Times Review of 21 Bridges","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/19/arts/twenty1/twenty1-mediumThreeByTwo210-v2.jpg",140,210,NA,-0.0222222222222222,0.271283562424689,-0.4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"13",13,13,"47 Meters Down: Uncaged","tt7329656",5,21696,"movie","47 Meters Down: Uncaged",0,2019,"\N",90,"Adventure,Drama,Horror","PG-13",0,"BILGE EBIRI","‘47 Meters Down: Uncaged’ Review: A Sequel Unworthy of the Original","This silly film manages to make all the mistakes the first movie avoided.",2019-08-15,2019-08-16,"2019-09-13 02:44:02","article","https://www.nytimes.com/2019/08/15/movies/47-meters-down-uncaged-review.html","Read the New York Times Review of 47 Meters Down: Uncaged","mediumThreeByTwo210","https://static01.nyt.com/images/2019/08/14/arts/fortyseven1/fortyseven1-mediumThreeByTwo210.jpg",140,210,NA,-0.0961538461538462,0.191986911947076,-1.25,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",14,14,"6 Underground","tt8106534",6.1,143567,"movie","6 Underground",0,2019,"\N",128,"Action,Thriller","R",0,"Glenn Kenny","‘6 Underground’ Review: Action by the Numbers","Ryan Reynolds plays a billionaire who’s part Deadpool, part Elon Musk and all Michael Bay hero in this relentless action movie.",2019-12-13,2019-12-13,"2019-12-20 17:44:01","article","https://www.nytimes.com/2019/12/13/movies/6-underground-review.html","Read the New York Times Review of 6 Underground","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/11/arts/sixunderground1/sixunderground1-mediumThreeByTwo210.jpg",140,210,NA,0.0227272727272727,0.202794332084359,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",15,15,"63 Up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"Manohla Dargis","‘63 Up’ Review: Time Keeps on Slippin’, Slippin’, Slippin’","Michael Apted revisits the people who have grown up, and grown older, in this long-running, landmark documentary series.",2019-11-26,2019-11-27,"2019-12-26 17:44:01","article","https://www.nytimes.com/2019/11/26/movies/63-up-review.html","Read the New York Times Review of 63 Up","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/27/arts/63up1/63up1-mediumThreeByTwo210.jpg",140,210,NA,0.0131578947368421,0.0573539334676404,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
