"","primaryTitle","tconst","averageRating","numVotes","titleType","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","sent_mean","sent_sd","sent_sum"
"1","'Til Madness Do Us Part","tt3120794",8.1,311,"movie","Feng ai",0,"2013","\N","227","Documentary","",0,"BEN KENIGSBERG","Review: ‘’Til Madness Do Us Part’ Finds Hell and Humanity","Wang Bing’s documentary about a mental hospital in China is overlong but sporadically extraordinary.","2016-06-08","2016-06-09","2017-11-02 04:18:24","article","https://www.nytimes.com/2016/06/09/movies/review-til-madness-do-us-part-finds-hell-and-humanity.html","Read the New York Times Review of 'Til Madness Do Us Part","mediumThreeByTwo210","https://static01.nyt.com/images/2016/06/09/arts/09TILMADNESS/09TILMADNESS-mediumThreeByTwo210.jpg",140,210,0.05,0.193649167310371,0.75
"2","(T)error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"KEN JAWOROWSKI","Review: ‘(T)error’ Documentary Follows an Informant in an F.B.I. Inquiry","This documentary raises questions about the agency’s methods, as an informant is told to persist with an inquiry after he concludes that its target is not a serious threat.","2015-10-06","2015-10-08","2017-11-02 04:18:22","article","https://www.nytimes.com/2015/10/07/movies/review-t-error-documentary-follows-an-informant-in-an-fbi-inquiry.html","Read the New York Times Review of (T)error","mediumThreeByTwo210","https://static01.nyt.com/images/2015/10/07/arts/07TERROR/07TERROR-mediumThreeByTwo210.jpg",140,210,-0.025,0.136930639376292,-0.75
"3","\Pain and Glory\",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",1,"MANOHLA DARGIS","‘Pain and Glory’ Review: Almodóvar’s Dazzling Art of Self-Creation","Antonio Banderas plays a filmmaker in crisis in Pedro Almodóvar’s movie about loss, love, imagination and memory.","2019-10-03","2019-10-04","2019-11-03 17:44:01","article","https://www.nytimes.com/2019/10/03/movies/pain-and-glory-review.html","Read the New York Times Review of \Pain and Glory\","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/02/arts/00painandglory-1/merlin_161549757_0e3807a1-a687-42c5-ba71-bcf0de20af8b-mediumThreeByTwo210.jpg",140,210,-0.0416666666666667,0.312132136423399,-0.75
"4","#Female Pleasure","tt8372826",7.5,526,"movie","#Female Pleasure",0,"2018","\N","101","Documentary","",0,"JEANNETTE CATSOULIS","‘#Female Pleasure’ Review: Fighting the Patriarchy","Barbara Miller’s humane profile of five women fighting back against sexism and misogyny is a hopeful, clearheaded confessional.","2019-10-17","2019-10-18","2019-10-25 16:44:02","article","https://www.nytimes.com/2019/10/17/movies/female-pleasure-review.html","Read the New York Times Review of #Female Pleasure","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/15/arts/female1/female1-mediumThreeByTwo210.jpg",140,210,0.0236842105263158,0.283023566476869,0.45
"5","#Horror","tt3526286",3,3431,"movie","#Horror",0,"2015","\N","97","Crime,Drama,Horror","Not Rated",0,"JEANNETTE CATSOULIS","Review: ‘#Horror’ Finds the Fear in Cyberbullying and Social Media Threats","In this feature directorial debut by Tara Subkoff, girls neglected by their parents and obsessed with their cellphones fall prey to perils of the online world.","2015-11-19","2015-11-20","2017-11-02 04:18:23","article","https://www.nytimes.com/2015/11/20/movies/review-horror-finds-the-fear-in-cyberbullying-and-social-media-threats.html","Read the New York Times Review of #Horror","mediumThreeByTwo210","https://static01.nyt.com/images/2015/11/20/arts/20SUBHORROR/20SUBHORROR-mediumThreeByTwo210.jpg",140,210,-0.0730769230769231,0.189330805328013,-1.9
"6","#Stuck","tt2075318",5.6,1084,"movie","#Stuck",0,"2014","\N","82","Comedy,Drama,Romance","",0,"NICOLAS RAPOLD","Road Rage as Aphrodisiac","&#8220;Stuck&#8221; centers on a couple who meet at a bar, spend the night together and then endure being caught in a morning traffic jam.","2014-10-09","2014-10-10","2017-11-02 04:18:19","article","https://www.nytimes.com/2014/10/10/movies/stuck-about-an-awkward-couple-in-a-traffic-jam.html","Read the New York Times Review of #Stuck","mediumThreeByTwo210","https://static01.nyt.com/images/2014/10/10/arts/10SUBSTUCK/SUBSTUCK-mediumThreeByTwo210.jpg",140,210,0,0.0707106781186548,0
"7","1","tt1859618",8.4,23,"movie","1",0,"2020","\N","100","Drama","",1,"JEANNETTE CATSOULIS","Revelers, Pause to Meet Yourselves","A bawdy college kegger has a possible extraterrestrial mystery in “+1.”","2013-09-19","2014-01-10","2017-11-02 04:18:18","article","https://www.nytimes.com/2013/09/20/movies/1-a-sci-fi-party-film-from-dennis-iliadis.html","Read the New York Times Review of 1","mediumThreeByTwo210","https://static01.nyt.com/images/2013/09/20/arts/20RDP_PLUSONE_SPAN/PLUSONE-mediumThreeByTwo210.jpg",140,210,-0.0590909090909091,0.135680105059994,-0.65
"8","1","tt2518788",8,3916,"movie","1",0,"2013","\N","112","Documentary,History,Sport","",1,"JEANNETTE CATSOULIS","Revelers, Pause to Meet Yourselves","A bawdy college kegger has a possible extraterrestrial mystery in “+1.”","2013-09-19","2014-01-10","2017-11-02 04:18:18","article","https://www.nytimes.com/2013/09/20/movies/1-a-sci-fi-party-film-from-dennis-iliadis.html","Read the New York Times Review of 1","mediumThreeByTwo210","https://static01.nyt.com/images/2013/09/20/arts/20RDP_PLUSONE_SPAN/PLUSONE-mediumThreeByTwo210.jpg",140,210,-0.0590909090909091,0.135680105059994,-0.65
"9","1 Night","tt4126694",5.8,1873,"movie","One Night",0,"2016","\N","80","Drama,Romance","",0,"NEIL GENZLINGER","Review: In ‘1 Night,’ a Hotel, 2 Couples, a Bad Prom and a Reckoning","This debut feature by Minhal Baig has two high school students, a couple in their 30s and a dash of charm.","2017-02-09","2017-02-10","2017-11-02 04:18:26","article","https://www.nytimes.com/2017/02/09/movies/1-night-review-isabelle-fuhrman.html","Read the New York Times Review of 1 Night","mediumThreeByTwo210","https://static01.nyt.com/images/2017/02/10/arts/10ONENIGHT1/10ONENIGHT1-mediumThreeByTwo210.jpg",140,210,0.0357142857142857,0.163663417676994,0.75
"10","10 Cloverfield Lane","tt1179933",7.2,294338,"movie","10 Cloverfield Lane",0,"2016","\N","103","Action,Drama,Horror","PG-13",1,"JEANNETTE CATSOULIS","Review: ‘10 Cloverfield Lane’ Houses a Survivalist, His Captive and Jolts","J.J. Abrams produced but did not direct this thriller, which is only slightly connected to his “Cloverfield” (2008) and stars Mary Elizabeth Winstead.","2016-03-10","2016-03-11","2017-11-02 04:18:23","article","https://www.nytimes.com/2016/03/11/movies/10-cloverfield-lane-review.html","Read the New York Times Review of 10 Cloverfield Lane","mediumThreeByTwo210","https://static01.nyt.com/images/2016/03/11/arts/cloverfield-1/cloverfield-1-mediumThreeByTwo210.jpg",140,210,0.00416666666666667,0.0204124145231932,0.1
