OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NM,USGS New Mexico Water Science Center,USGS-08364000,"RIO GRANDE AT EL PASO, TX",Stream,,13030102,32210.00,sq mi,29270,sq mi,31.80288488000000,-106.5408218000000,,3,seconds,Interpolated from MAP.,NAD83,3722.30,feet,10,feet,Interpolated from topographic map.,NGVD29,US,48,141,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-07227500,"Canadian Rv nr Amarillo, TX",Stream,,11090105,19445,sq mi,15376,sq mi,35.47032610000000,-101.8796280000000,24000,5,seconds,Interpolated from MAP.,NAD83,2989.16,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,375,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-07227900,"Lk Meredith nr Sanford, TX","Lake, Reservoir, Impoundment",,11090105,20220,sq mi,16048,sq mi,35.71059730000000,-101.5512813000000,24000,5,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Reported method of determination.,NGVD29,US,48,233,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-07299840,"Greenbelt Lk nr Clarendon, TX","Lake, Reservoir, Impoundment",,11120201,457,sq mi,266,sq mi,35.00060555000000,-100.8948666000000,24000,5,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Reported method of determination.,NGVD29,US,48,129,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-07312500,"Wichita Rv at Wichita Falls, TX",Stream,,11130206,3140,sq mi,1054,sq mi,33.90954178000000,-98.5336663000000,24000,5,seconds,Interpolated from MAP.,NAD83,924.26,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,485,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08041000,"Neches Rv at Evadale, TX",Stream,,12020003,7951,sq mi,7951,sq mi,30.35576378000000,-94.0932373000000,24000,5,seconds,Interpolated from MAP.,NAD83,8.25,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,241,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08050100,"Mountain Ck at Grand Prairie, TX",Stream,,12030102,298,sq mi,298,sq mi,32.74986110000000,-96.9261111000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,401.31,feet,.1,feet,Level or other surveyed method.,NGVD29,US,48,113,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08051135,"Elm Fk Trinity Rv at Greenbelt nr Pilot Point, TX",Stream,,12030103,694,sq mi,694,sq mi,33.34972220000000,-97.0355556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,521.71,feet,10,feet,Interpolated from Digital Elevation Model,NGVD29,US,48,121,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08051200,"Elm Fk Trinity Rv at FM 428 nr Aubrey, TX",Stream,,12030103,,,,,33.30693333000000,-97.0423333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,534,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,121,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-08052010,"Elm Fk Trinity Rv at US 380 nr Denton, TX",Stream,,12030103,,,,,33.23811667000000,-97.0439000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,530,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,121,,,,,,,,,NWIS
